设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['正方元锦江国际饭店-河南工业大学', '正方元锦江国际饭店', '河南工业大学', '34.76551,113.75021', '34.83330,113.55796', '状态201 break break', 'na na']
设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['御玺中州国际饭店-郑州大学', '御玺中州国际饭店', '郑州大学', '34.75439,113.70642', '34.81414,113.54220', ('状态0', '23303', '2385'), 'na na']
['御玺中州国际饭店-郑州工程技术学院', '御玺中州国际饭店', '郑州工程技术学院', '34.75439,113.70642', '34.86633,113.65609', ('状态0', '18470', '2253'), 'na na']
['御玺中州国际饭店-郑州师范学院', '御玺中州国际饭店', '郑州师范学院', '34.75439,113.70642', '34.86471,113.62637', ('状态0', '20861', '2537'), 'na na']
['御玺中州国际饭店-郑州市体育馆', '御玺中州国际饭店', '郑州市体育馆', '34.75439,113.70642', '34.76295,113.67994', ('状态0', '3961', '915'), 'na na']
['御玺中州国际饭店-郑州市体育场', '御玺中州国际饭店', '郑州市体育场', '34.75439,113.70642', '34.76295,113.67994', ('状态0', '3961', '915'), 'na na']
['御玺中州国际饭店-华北水利水电大学', '御玺中州国际饭店', '华北水利水电大学', '34.75439,113.70642', '34.77593,113.76580', ('状态0', '8536', '1458'), 'na na']
['御玺中州国际饭店-北龙湖', '御玺中州国际饭店', '北龙湖', '34.75439,113.70642', '34.81829,113.74043', ('状态0', '11787', '1519'), 'na na']
['御玺中州国际饭店-郑州奥体中心体育馆', '御玺中州国际饭店', '郑州奥体中心体育馆', '34.75439,113.70642', '34.73476,113.54065', ('状态0', '20153', '1637'), 'na na']
['朵哈国际假日宾馆-河南工业大学', '朵哈国际假日宾馆', '河南工业大学', '34.74174,113.73269', '34.83330,113.55796', ('状态0', '27192', '2707'), 'na na']
['朵哈国际假日宾馆-郑州大学', '朵哈国际假日宾馆', '郑州大学', '34.74174,113.73269', '34.81414,113.54220', ('状态0', '26953', '2631'), 'na na']
['朵哈国际假日宾馆-郑州工程技术学院', '朵哈国际假日宾馆', '郑州工程技术学院', '34.74174,113.73269', '34.86633,113.65609', ('状态0', '22120', '2491'), 'na na']
['朵哈国际假日宾馆-郑州师范学院', '朵哈国际假日宾馆', '郑州师范学院', '34.74174,113.73269', '34.86471,113.62637', ('状态0', '24511', '2780'), 'na na']
['朵哈国际假日宾馆-郑州市体育馆', '朵哈国际假日宾馆', '郑州市体育馆', '34.74174,113.73269', '34.76295,113.67994', ('状态0', '11798', '1768'), 'na na']
['朵哈国际假日宾馆-郑州市体育场', '朵哈国际假日宾馆', '郑州市体育场', '34.74174,113.73269', '34.76295,113.67994', ('状态0', '11798', '1768'), 'na na']
['朵哈国际假日宾馆-华北水利水电大学', '朵哈国际假日宾馆', '华北水利水电大学', '34.74174,113.73269', '34.77593,113.76580', ('状态0', '9671', '1576'), 'na na']
['朵哈国际假日宾馆-北龙湖', '朵哈国际假日宾馆', '北龙湖', '34.74174,113.73269', '34.81829,113.74043', ('状态0', '15437', '1754'), 'na na']
['朵哈国际假日宾馆-郑州奥体中心体育馆', '朵哈国际假日宾馆', '郑州奥体中心体育馆', '34.74174,113.73269', '34.73476,113.54065', ('状态0', '22661', '3044'), 'na na']
['大河锦悦酒店-河南工业大学', '大河锦悦酒店', '河南工业大学', '34.77312,113.72914', '34.83330,113.55796', ('状态0', '20885', '1730'), 'na na']
['大河锦悦酒店-郑州大学', '大河锦悦酒店', '郑州大学', '34.77312,113.72914', '34.81414,113.54220', ('状态0', '21052', '1742'), 'na na']
