海容大酒店-郑州市体育馆,海容大酒店,郑州市体育馆,"34.77406,113.75533","34.76295,113.67994",状态0,8549,1179,nana
海容大酒店-郑州市体育场,海容大酒店,郑州市体育场,"34.77406,113.75533","34.76295,113.67994",状态0,8549,1179,nana
海容大酒店-华北水利水电大学,海容大酒店,华北水利水电大学,"34.77406,113.75533","34.77593,113.76580",状态0,1586,307,nana
海容大酒店-北龙湖,海容大酒店,北龙湖,"34.77406,113.75533","34.81829,113.74043",状态0,7556,1055,nana
海容大酒店-郑州奥体中心体育馆,海容大酒店,郑州奥体中心体育馆,"34.77406,113.75533","34.73476,113.54065",状态0,26774,1906,nana
河南天地粤海酒店-河南工业大学,河南天地粤海酒店,河南工业大学,"34.79197,113.70389","34.83330,113.55796",状态0,19749,1730,nana
河南天地粤海酒店-郑州大学,河南天地粤海酒店,郑州大学,"34.79197,113.70389","34.81414,113.54220",状态0,19510,1668,nana
河南天地粤海酒店-郑州工程技术学院,河南天地粤海酒店,郑州工程技术学院,"34.79197,113.70389","34.86633,113.65609",状态0,14677,1512,nana
河南天地粤海酒店-郑州师范学院,河南天地粤海酒店,郑州师范学院,"34.79197,113.70389","34.86471,113.62637",状态0,17068,1798,nana
河南天地粤海酒店-郑州市体育馆,河南天地粤海酒店,郑州市体育馆,"34.79197,113.70389","34.76295,113.67994",状态0,7369,1258,nana
河南天地粤海酒店-郑州市体育场,河南天地粤海酒店,郑州市体育场,"34.79197,113.70389","34.76295,113.67994",状态0,7369,1258,nana
河南天地粤海酒店-华北水利水电大学,河南天地粤海酒店,华北水利水电大学,"34.79197,113.70389","34.77593,113.76580",状态0,8915,1325,nana
河南天地粤海酒店-北龙湖,河南天地粤海酒店,北龙湖,"34.79197,113.70389","34.81829,113.74043",状态0,7994,785,nana
河南天地粤海酒店-郑州奥体中心体育馆,河南天地粤海酒店,郑州奥体中心体育馆,"34.79197,113.70389","34.73476,113.54065",状态0,23434,1961,nana
河南天地粤海酒店-河南工业大学,河南天地粤海酒店,河南工业大学,"34.79197,113.70389","34.83330,113.55796",状态0,19749,2465,nana
河南天地粤海酒店-郑州大学,河南天地粤海酒店,郑州大学,"34.79197,113.70389","34.81414,113.54220",状态0,19510,2458,nana
河南天地粤海酒店-郑州工程技术学院,河南天地粤海酒店,郑州工程技术学院,"34.79197,113.70389","34.86633,113.65609",状态0,14432,2227,nana
河南天地粤海酒店-郑州师范学院,河南天地粤海酒店,郑州师范学院,"34.79197,113.70389","34.86471,113.62637",状态0,18341,2321,nana
河南天地粤海酒店-郑州市体育馆,河南天地粤海酒店,郑州市体育馆,"34.79197,113.70389","34.76295,113.67994",状态0,7369,1545,nana
河南天地粤海酒店-郑州市体育场,河南天地粤海酒店,郑州市体育场,"34.79197,113.70389","34.76295,113.67994",状态0,7369,1545,nana
