设备序列号 起点 终点 状态码  步行路程(米) 步行耗时(秒)
朵哈国际假日宾馆-北龙湖', '34.74174,113.73269', '34.81829,113.74043', 状态0', '15437', '1330'], 'na na']
朵哈国际假日宾馆-郑州奥体中心体育馆', '34.74174,113.73269', '34.73476,113.54065', 状态0', '22661', '3049'], 'na na']
大河锦悦酒店-河南工业大学', '34.77312,113.72914', '34.83330,113.55796', 状态0', '20885', '1785'], 'na na']
大河锦悦酒店-郑州大学', '34.77312,113.72914', '34.81414,113.54220', 状态0', '21052', '1735'], 'na na']
大河锦悦酒店-郑州工程技术学院', '34.77312,113.72914', '34.86633,113.65609', 状态0', '16219', '1657'], 'na na']
大河锦悦酒店-郑州师范学院', '34.77312,113.72914', '34.86471,113.62637', 状态0', '19001', '1645'], 'na na']
大河锦悦酒店-郑州市体育馆', '34.77312,113.72914', '34.76295,113.67994', 状态0', '6388', '1090'], 'na na']
大河锦悦酒店-郑州市体育场', '34.77312,113.72914', '34.76295,113.67994', 状态0', '6388', '1090'], 'na na']
大河锦悦酒店-华北水利水电大学', '34.77312,113.72914', '34.77593,113.76580', 状态0', '5888', '728'], 'na na']
大河锦悦酒店-北龙湖', '34.77312,113.72914', '34.81829,113.74043', 状态0', '9536', '851'], 'na na']
大河锦悦酒店-郑州奥体中心体育馆', '34.77312,113.72914', '34.73476,113.54065', 状态0', '25180', '1771'], 'na na']
丰乐园酒店-河南工业大学', '34.80962,113.64053', '34.83330,113.55796', 状态0', '10252', '1329'], 'na na']
丰乐园酒店-郑州大学', '34.80962,113.64053', '34.81414,113.54220', 状态0', '10419', '1280'], 'na na']
丰乐园酒店-郑州工程技术学院', '34.80962,113.64053', '34.86633,113.65609', 状态0', '11170', '1676'], 'na na']
丰乐园酒店-郑州师范学院', '34.80962,113.64053', '34.86471,113.62637', 状态0', '8069', '1189'], 'na na']
丰乐园酒店-郑州市体育馆', '34.80962,113.64053', '34.76295,113.67994', 状态0', '7355', '1469'], 'na na']
丰乐园酒店-郑州市体育场', '34.80962,113.64053', '34.76295,113.67994', 状态0', '7355', '1469'], 'na na']
丰乐园酒店-华北水利水电大学', '34.80962,113.64053', '34.77593,113.76580', 状态0', '17594', '1906'], 'na na']
丰乐园酒店-北龙湖', '34.80962,113.64053', '34.81829,113.74043', 状态0', '11530', '1308'], 'na na']
丰乐园酒店-郑州奥体中心体育馆', '34.80962,113.64053', '34.73476,113.54065', 状态0', '20757', '1604'], 'na na']
海容大酒店-河南工业大学', '34.77406,113.75533', '34.83330,113.55796', 状态0', '23754', '2215'], 'na na']
海容大酒店-郑州大学', '34.77406,113.75533', '34.81414,113.54220', 状态0', '23515', '2131'], 'na na']
海容大酒店-郑州工程技术学院', '34.77406,113.75533', '34.86633,113.65609', 状态0', '18682', '2041'], 'na na']
海容大酒店-郑州师范学院', '34.77406,113.75533', '34.86471,113.62637', 状态0', '21464', '2004'], 'na na']
海容大酒店-郑州市体育馆', '34.77406,113.75533', '34.76295,113.67994', 状态0', '8549', '1376'], 'na na']
海容大酒店-郑州市体育场', '34.77406,113.75533', '34.76295,113.67994', 状态0', '8549', '1376'], 'na na']
海容大酒店-华北水利水电大学', '34.77406,113.75533', '34.77593,113.76580', 状态0', '1586', '341'], 'na na']
海容大酒店-北龙湖', '34.77406,113.75533', '34.81829,113.74043', 状态0', '7556', '1052'], 'na na']
海容大酒店-郑州奥体中心体育馆', '34.77406,113.75533', '34.73476,113.54065', 状态0', '26774', '2012'], 'na na']
